fish_id,species,Lgt,Wgt,stream,order,cumdrain,time1,time2,death,move_rate,death2
31,brook,190,62,Hunts_Run,4,79.263,7,153,0,6.65,0
33,brook,240,146,Hunts_Run,4,79.263,7,92,0,98.4,1
34,brook,210,83,Hunts_Run,4,79.263,7,28,0,11.93,1
35,brook,190,64,Hunts_Run,4,79.263,7,166,0,19.98,0
57,brook,185,65,Hunts_Run,4,79.263,7,166,0,13.52,0
83,brook,220,90,Hunts_Run,4,79.263,7,40,1,0.23,1
85,brook,205,81,Hunts_Run,4,79.263,7,12,1,,1
101,brook,217,103,Hunts_Run,4,79.263,7,46,1,27.69,1
102,brook,225,104,Hunts_Run,4,79.263,7,153,0,33.43,0
106,brook,275,210,Hunts_Run,4,79.263,7,34,0,22.02,1
109,brook,250,159,Hunts_Run,4,79.263,7,166,0,12.48,0
32,brown,350,395,Hunts_Run,4,79.263,7,90,0,151.24,1
58,brown,242,145,Hunts_Run,4,79.263,7,99,0,60.82,1
59,brown,315,313,Hunts_Run,4,79.263,7,86,0,45.53,1
60,brown,295,247,Hunts_Run,4,79.263,7,91,0,3.56,1
76,brown,260,132,Hunts_Run,4,79.263,7,43,0,30.16,1
77,brown,290,216,Hunts_Run,4,79.263,7,141,0,5.54,1
78,brown,215,87,Hunts_Run,4,79.263,7,43,0,2.87,1
79,brown,250,132,Hunts_Run,4,79.263,7,83,0,14.61,1
80,brown,235,99,Hunts_Run,4,79.263,7,141,0,10.02,1
81,brown,220,96,Hunts_Run,4,79.263,7,119,0,7.54,1
82,brown,300,221,Hunts_Run,4,79.263,7,153,0,6.8,0
84,brown,250,126,Hunts_Run,4,79.263,7,40,1,0.46,1
103,brown,302,230,Hunts_Run,4,79.263,7,43,1,21.39,1
104,brown,225,110,Hunts_Run,4,79.263,7,93,0,43.14,1
105,brown,265,155,Hunts_Run,4,79.263,7,126,0,19.38,1
107,brown,425,730,Hunts_Run,4,79.263,7,43,0,0.35,1
108,brown,430,829,Hunts_Run,4,79.263,7,79,0,16.31,1
120,brown,190,62,Hunts_Run,4,79.263,34,141,0,4.36,1
139,brown,185,55,Hunts_Run,4,79.263,34,36,0,,1
141,brown,216,88,Hunts_Run,4,79.263,34,36,0,,1
185,brown,323,335,Hunts_Run,4,79.263,34,166,0,3.02,0
23,brook,314,270,McKinnon_Run,2,24.906,5,42,0,31.98,1
24,brook,191,51,McKinnon_Run,2,24.906,5,141,0,26.7,1
26,brook,232,144,McKinnon_Run,2,24.906,5,35,0,0.11,1
28,brook,345,417,McKinnon_Run,2,24.906,5,42,0,4.52,1
29,brook,252,162,McKinnon_Run,2,24.906,5,35,0,9.55,1
49,brook,180,55,McKinnon_Run,2,24.906,5,141,0,20.02,1
50,brook,201,68,McKinnon_Run,2,24.906,5,166,0,14.11,0
51,brook,175,49,McKinnon_Run,2,24.906,5,153,0,47.1,0
53,brook,245,122,McKinnon_Run,2,24.906,5,153,0,27.17,0
54,brook,244,145,McKinnon_Run,2,24.906,5,40,1,59.13,1
21,brown,247,157,McKinnon_Run,2,24.906,5,9,0,,1
22,brown,213,88,McKinnon_Run,2,24.906,5,153,0,18.11,0
25,brown,190,60,McKinnon_Run,2,24.906,5,90,0,5.81,1
27,brown,225,110,McKinnon_Run,2,24.906,5,153,0,19.92,0
30,brown,203,81,McKinnon_Run,2,24.906,5,107,0,22.98,1
46,brown,230,99,McKinnon_Run,2,24.906,5,42,0,2.11,1
47,brown,186,51,McKinnon_Run,2,24.906,5,42,0,16.92,1
52,brown,185,61,McKinnon_Run,2,24.906,5,153,0,5.06,0
55,brown,345,382,McKinnon_Run,2,24.906,5,61,1,53.42,1
66,brook,162,48,McNuff_Branch,2,14.055,8,153,0,8.06,0
67,brook,193,69,McNuff_Branch,2,14.055,8,153,0,9.96,0
69,brook,215,94,McNuff_Branch,2,14.055,8,153,0,4.39,0
70,brook,174,45,McNuff_Branch,2,14.055,8,82,1,25.35,1
71,brook,252,146,McNuff_Branch,2,14.055,8,43,1,29.94,1
94,brook,218,94,McNuff_Branch,2,14.055,8,96,0,13.92,1
97,brook,184,56,McNuff_Branch,2,14.055,8,50,1,10.98,1
98,brook,185,50,McNuff_Branch,2,14.055,8,107,0,18.52,1
73,brown,237,117,McNuff_Branch,2,14.055,8,153,0,0.51,0
74,brown,204,76,McNuff_Branch,2,14.055,8,153,0,21.63,0
75,brown,181,48,McNuff_Branch,2,14.055,8,77,0,1.66,1
91,brown,161,62,McNuff_Branch,2,14.055,8,99,0,10.68,1
